"","age","job","education","default","month","duration","poutcome","Subscription"
"1",56,"housemaid","basic.4y","no","may",261,"nonexistent","no"
"2",57,"services","high.school","unknown","may",149,"nonexistent","no"
"3",37,"services","high.school","no","may",226,"nonexistent","no"
"4",40,"admin.","basic.6y","no","may",151,"nonexistent","no"
"5",56,"services","high.school","no","may",307,"nonexistent","no"
"6",45,"services","basic.9y","unknown","may",198,"nonexistent","no"
"7",59,"admin.","professional.course","no","may",139,"nonexistent","no"
"8",41,"blue-collar","unknown","unknown","may",217,"nonexistent","no"
"9",24,"technician","professional.course","no","may",380,"nonexistent","no"
"10",25,"services","high.school","no","may",50,"nonexistent","no"
"11",41,"blue-collar","unknown","unknown","may",55,"nonexistent","no"
"12",25,"services","high.school","no","may",222,"nonexistent","no"
"13",29,"blue-collar","high.school","no","may",137,"nonexistent","no"
"14",57,"housemaid","basic.4y","no","may",293,"nonexistent","no"
"15",35,"blue-collar","basic.6y","no","may",146,"nonexistent","no"
"16",54,"retired","basic.9y","unknown","may",174,"nonexistent","no"
"17",35,"blue-collar","basic.6y","no","may",312,"nonexistent","no"
"18",46,"blue-collar","basic.6y","unknown","may",440,"nonexistent","no"
"19",50,"blue-collar","basic.9y","no","may",353,"nonexistent","no"
"20",39,"management","basic.9y","unknown","may",195,"nonexistent","no"
"21",30,"unemployed","high.school","no","may",38,"nonexistent","no"
"22",55,"blue-collar","basic.4y","unknown","may",262,"nonexistent","no"
"23",55,"retired","high.school","no","may",342,"nonexistent","no"
"24",41,"technician","high.school","no","may",181,"nonexistent","no"
"25",37,"admin.","high.school","no","may",172,"nonexistent","no"
"26",35,"technician","university.degree","no","may",99,"nonexistent","no"
"27",59,"technician","unknown","no","may",93,"nonexistent","no"
"28",39,"self-employed","basic.9y","unknown","may",233,"nonexistent","no"
"29",54,"technician","university.degree","unknown","may",255,"nonexistent","no"
"30",55,"unknown","university.degree","unknown","may",362,"nonexistent","no"
"31",46,"admin.","unknown","no","may",348,"nonexistent","no"
"32",59,"technician","unknown","no","may",386,"nonexistent","no"
"33",49,"blue-collar","unknown","no","may",73,"nonexistent","no"
"34",54,"management","basic.4y","unknown","may",230,"nonexistent","no"
"35",54,"blue-collar","basic.4y","no","may",208,"nonexistent","no"
"36",55,"unknown","basic.4y","unknown","may",336,"nonexistent","no"
"37",34,"services","high.school","no","may",365,"nonexistent","no"
"38",52,"technician","basic.9y","no","may",1666,"nonexistent","no"
"39",41,"admin.","university.degree","no","may",577,"nonexistent","no"
"40",56,"technician","basic.4y","no","may",137,"nonexistent","no"
"41",58,"management","university.degree","no","may",366,"nonexistent","no"
"42",32,"entrepreneur","high.school","no","may",314,"nonexistent","no"
"43",38,"admin.","professional.course","no","may",160,"nonexistent","no"
"44",57,"admin.","university.degree","no","may",212,"nonexistent","no"
"45",44,"admin.","university.degree","unknown","may",188,"nonexistent","no"
"46",42,"technician","professional.course","unknown","may",22,"nonexistent","no"
