"","job","education","default","contact","month","campaign","previous","poutcome","cons.price.idx","cons.conf.idx","euribor3m","Subscription"
"1","housemaid","basic.4y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"2","services","high.school","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"3","services","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"4","admin.","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"5","services","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"6","services","basic.9y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"7","admin.","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"8","blue-collar","unknown","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"9","technician","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"10","services","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"11","blue-collar","unknown","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"12","services","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"13","blue-collar","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"14","housemaid","basic.4y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"15","blue-collar","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"16","retired","basic.9y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"17","blue-collar","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"18","blue-collar","basic.6y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"19","blue-collar","basic.9y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"20","management","basic.9y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"21","unemployed","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"22","blue-collar","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"23","retired","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"24","technician","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"25","admin.","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"26","technician","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"27","technician","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"28","self-employed","basic.9y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"29","technician","university.degree","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"30","unknown","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"31","admin.","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"32","technician","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"33","blue-collar","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"34","management","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"35","blue-collar","basic.4y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"36","unknown","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"37","services","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"38","technician","basic.9y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"39","admin.","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"40","technician","basic.4y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"41","management","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"42","entrepreneur","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"43","admin.","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"44","admin.","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"45","admin.","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"46","technician","professional.course","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"47","admin.","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"48","blue-collar","basic.9y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"49","admin.","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"50","blue-collar","basic.9y","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"51","admin.","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"52","housemaid","basic.4y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"53","admin.","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"54","admin.","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"55","blue-collar","basic.4y","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"56","technician","professional.course","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"57","management","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"58","services","high.school","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"59","unemployed","professional.course","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
